zone,state,lga,sector,ea,hhid,plotid,s11dq1,s11dq2,s11dq3,s11dq3b,s11dq4,s11dq5,s11dq5b,s11dq6,s11dq7,s11dq7b,s11dq8,s11dq9a,s11dq9b,s11dq10,s11dq11,s11dq11b,s11dq12,s11dq13a,s11dq13b,s11dq14,s11dq15,s11dq15b,s11dq16,s11dq17,s11dq18,s11dq18b,s11dq19,s11dq20,s11dq21,s11dq22,s11dq23,s11dq24,s11dq25a,s11dq25b,s11dq26,s11dq27,s11dq27b,s11dq28,s11dq29,s11dq30,s11dq30b,s11dq31,s11dq32,s11dq33,s11dq34,s11dq35,tracked_obs
4,1,106,2,880,10025,3,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10026,1,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,NA,N1,1,,50,200,5,,5500,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10027,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10027,2,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N2,2,,150,600,5,,19500,3,10000,9500,N2,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10027,3,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,2,NA,N2,2,,150,600,5,,19500,3,10000,9500,N2,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10029,1,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,NA,N1,2,,7.5,1100,5,,500,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10029,2,1,2,NA,,NA,NA,,2,NA,,NA,,,NA,NA,,1,1,NA,N1,2,,7.5,1100,5,,500,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10029,3,NA,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10030,1,1,1,2,,10,5,,2,NA,,NA,,,NA,NA,,1,1,2,N1,2,,100,12000,3,,12000,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10030,2,1,1,2,,10,5,,2,NA,,NA,,,NA,NA,,1,1,2,N1,2,,50,6000,3,,6000,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10030,3,1,1,2,,10,5,,2,NA,,NA,,,NA,NA,,1,1,2,N1,2,,100,12000,3,,12000,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,106,2,880,10030,4,1,1,2,,10,5,,2,NA,,NA,,,NA,NA,,1,1,2,N1,2,,75,9000,3,,9000,1,NA,NA,,2,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,111,1,1146,10034,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
4,1,102,1,1690,10057,1,2,NA,NA,,NA,NA,,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,,0
