"zone","state","lga","sector","ea","hhid","plotid","s11dq1","s11dq1a","s11dq2","s11dq3","s11dq3_os","s11dq4a","s11dq4b","s11dq5","s11dq5_os","s11dq5a","s11dq5b","s11dq5c1","s11dq5c2","s11dq5d","s11dq5e","sect11dq6","sect11dq7","sect11dq8a","sect11dq8b","sect11dq9a","sect11dq9b","s11dq10","s11dq11","s11dq12","s11dq13a","s11dq13b","s11dq14","s11dq15","s11dq15_os","s11dq16a","s11dq16b","s11dq17","s11dq18","s11dq18_os","s11dq19","s11dq20","s11dq21","s11dq22","s11dq23","s11dq24","s11dq25a","s11dq25b","s11dq26","s11dq27","s11dq28a","s11dq28b","s11dq29","s11dq30","s11dq30_os","s11dq31","s11dq32","s11dq33","s11dq34","s11dq35","s11dq36","s11dq37a","s11dq37b","s11dq38a","s11dq38b","s11dq39","s11dq40","s11dq41"
4,1,106,2,880,10027,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N02",1,,50,2,100,5,,6500,1,,,,2,,,,,,,,,,,,,,,1,50,1,50,1,1300,"N03",50
4,1,106,2,880,10027,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N02",1,,50,2,100,5,,6500,1,,,,2,,,,,,,,,,,,,,,1,150,1,150,1,3900,"N03",150
4,1,106,2,880,10029,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,2,"N02",2,,10,1,200,5,,1200,1,,,,2,,,,,,,,,,,,,,,1,5,1,0,,,,
4,1,106,2,880,10029,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,2,"N02",2,,10,1,200,5,,1200,1,,,,2,,,,,,,,,,,,,,,1,3,1,0,,,,
4,1,106,2,880,10030,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N01",2,,2,1,1500,5,,10000,1,,,,2,,,,,,,,,,,,,,,1,1,1,1,1,1500,"N02",300
4,1,106,2,880,10030,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N01",2,,2,1,1000,5,,10000,1,,,,2,,,,,,,,,,,,,,,1,1,1,1,1,1500,"N02",300
4,1,106,2,880,10030,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N01",2,,2,1,1500,5,,10000,1,,,,2,,,,,,,,,,,,,,,1,1,1,1,1,1500,"N02",300
4,1,111,1,1146,10033,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,1,0,,,,
4,1,107,2,1044,10061,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N02",1,,100,1,200,5,,10500,1,,,,2,,,,,,,,,,,,,,,1,200,1,200,1,4000,"N03",300
4,1,107,2,1044,10061,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N02",2,,150,1,250,5,,16000,1,,,,2,,,,,,,,,,,,,,,1,200,1,200,1,4000,"N03",300
4,1,107,2,1044,10062,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N02",2,,2,1,200,5,,10000,1,,,,2,,,,,,,,,,,,,,,1,50,1,50,1,1500,"N03",300
4,1,107,2,1044,10062,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N02",1,,2,1,200,5,,11000,1,,,,2,,,,,,,,,,,,,,,1,100,1,100,1,3000,"N03",600
4,1,107,2,1044,10062,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N02",1,,2,1,200,5,,11000,1,,,,2,,,,,,,,,,,,,,,1,100,1,100,1,3000,"N03",600
4,1,107,2,1044,10063,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,5,,"N02",2,,1,1,400,5,,5000,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10063,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,5,,"N02",2,,1,1,400,5,,5000,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10063,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,5,,"N02",2,,1,1,400,5,,5000,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10063,4,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,5,,"N02",2,,1,1,400,5,,5000,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10064,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,2,"N02",1,,75,1,500,3,,10500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10064,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,2,"N02",1,,50,1,400,3,,7500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,102,1,0,10065,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,100,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,102,1,0,10065,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,100,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,102,1,0,10065,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,100,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10066,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,300,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10066,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,300,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10066,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,300,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10066,4,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,300,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10066,5,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,300,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10067,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N01",1,,50,1,300,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10067,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N01",1,,50,1,300,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10067,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,1,,"N01",1,,50,1,300,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10068,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,400,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10068,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,400,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10068,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N01",1,,50,1,400,5,,5500,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,
4,1,107,2,1044,10069,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,3,"N01",4,"MIXED NPK AND UREA",100,1,300,3,,11000,1,,,,2,,,,,,,,,,,,,,,1,100,1,100,1,3000,"N02",300
4,1,107,2,1044,10069,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,3,"N01",4,"MIXED NPK AND UREA",100,1,300,3,,11000,1,,,,2,,,,,,,,,,,,,,,1,50,1,50,1,1500,"N02",300
4,1,107,2,0,10070,1,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N02",2,,150,1,150,5,,15000,1,,,,2,,,,,,,,,,,,,,,1,50,1,50,1,1500,"N03",100
4,1,107,2,0,10070,2,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N02",1,,200,1,200,5,,20000,1,,,,2,,,,,,,,,,,,,,,1,100,1,100,1,3000,"N03",200
4,1,107,2,0,10070,3,1,1,2,,,,,,,2,,,,,,2,,,,,,,,1,2,,"N02",1,,150,1,150,5,,15000,1,,,,2,,,,,,,,,,,,,,,1,50,1,50,1,1500,"N03",100
4,1,117,2,560,10071,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
