"zone","state","lga","sector","ea","hhid","plotid","s11c1q1a1","s11c1q1a2","s11c1q1a3","s11c1q1a4","s11c1q1b1","s11c1q1b2","s11c1q1b3","s11c1q1b4","s11c1q1c1","s11c1q1c2","s11c1q1c3","s11c1q1c4","s11c1q1d1","s11c1q1d2","s11c1q1d3","s11c1q1d4","s11c1q2","s11c1q3","s11c1q4","s11c1q5","s11c1q6","s11c1q7","s11c1q8","s11c1q9","s11c1q10","s11c1q11","s11c1q12","s11c1q12_os"
4,1,107,2,1044,10068,2,2,23,3,4,,,,,,,,,,,,,6,2,7200,7,3,4900,0,,,2,3,
4,1,107,2,1044,10068,3,2,24,3,4,,,,,,,,,,,,,7,2,8400,9,3,6300,0,,,2,3,
4,1,107,2,1044,10069,1,3,18,4,5,9,20,5,5,4,12,3,4,5,12,3,4,5,1,5000,4,2,2800,0,,,2,1,
4,1,107,2,1044,10069,2,3,18,4,5,9,20,5,5,4,12,3,4,6,12,3,4,3,1,3000,4,2,2800,0,,,2,1,
4,1,107,2,0,10070,1,2,35,5,5,6,28,3,4,9,30,3,4,,,,,5,1,5000,10,1,5000,0,,,2,3,
4,1,107,2,0,10070,2,2,28,4,3,6,25,3,3,9,25,3,3,,,,,3,1,3000,7,1,3500,0,,,2,3,
4,1,107,2,0,10070,3,2,18,4,3,6,20,2,3,9,20,2,3,,,,,2,1,2000,3,1,3500,0,,,2,3,
4,1,117,2,560,10071,1,1,18,3,8,2,22,5,10,3,14,3,5,,,,,2,3,4000,2,2,2000,0,,,2,2,
4,1,117,2,560,10071,2,1,14,2,7,2,18,4,12,3,10,3,4,,,,,2,3,4000,2,2,2000,0,,,2,2,
4,1,117,2,560,10072,1,1,12,2,4,2,15,3,4,,,,,,,,,3,1,6600,5,1,5000,0,,,2,3,
4,1,117,2,560,10072,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10073,1,1,18,3,5,,,,,,,,,,,,,2,1,2000,3,3,2400,0,,,2,1,
4,1,117,2,560,10073,2,1,18,3,5,,,,,,,,,,,,,2,1,2000,3,3,2400,0,,,2,1,
4,1,117,2,560,10074,1,2,15,3,2,4,15,5,5,,,,,,,,,3,1,3000,3,1,2400,0,,,2,1,
4,1,117,2,560,10074,2,2,15,3,2,4,15,5,5,,,,,,,,,3,1,3000,3,1,2400,0,,,2,1,
4,1,117,2,560,10075,1,1,20,5,11,2,17,5,7,,,,,,,,,2,3,4000,2,2,2000,0,,,2,2,
4,1,117,2,560,10075,2,1,20,5,11,2,17,5,7,,,,,,,,,2,3,4000,2,3,2500,0,,,2,2,
4,1,117,2,560,10076,1,,,,,,,,,,,,,,,,,0,,,0,,,0,,,2,1,
4,1,117,2,560,10077,1,,,,,,,,,,,,,,,,,0,,,0,,,0,,,2,1,
4,1,117,2,560,10077,2,1,4,2,5,,,,,,,,,,,,,2,2,2000,2,2,2000,0,,,2,1,
4,1,117,2,560,10078,1,2,10,3,3,4,18,5,6,,,,,,,,,3,2,3000,3,4,2100,0,,,2,3,
4,1,117,2,560,10078,2,2,10,3,3,4,18,5,6,,,,,,,,,4,2,4000,3,4,2100,0,,,2,3,
4,1,117,2,560,10078,3,2,10,3,3,4,18,5,6,,,,,,,,,5,2,5000,3,4,2100,0,,,2,3,
4,1,117,2,560,10079,1,1,17,3,12,2,22,4,13,,,,,,,,,5,1,11000,10,1,10000,0,,,2,3,
4,1,117,2,560,10080,1,1,12,3,5,2,22,5,12,,,,,,,,,3,2,7000,3,2,2500,0,,,2,2,
4,1,117,2,560,10080,2,,,,,,,,,,,,,,,,,3,2,7000,3,2,2500,0,,,2,2,
4,1,110,2,76,10081,1,1,12,3,6,,,,,,,,,,,,,3,2,3000,2,2,1600,0,,,2,1,
4,1,110,2,76,10082,1,1,10,2,5,,,,,,,,,,,,,2,2,2000,3,3,2400,0,,,2,1,
4,1,110,2,76,10082,2,1,4,2,5,,,,,,,,,,,,,2,1,2000,2,2,1600,0,,,2,1,
4,1,110,2,76,10082,3,1,4,2,5,,,,,,,,,,,,,2,1,2000,2,2,1600,0,,,2,1,
4,1,110,2,76,10085,1,1,18,4,6,,,,,,,,,,,,,2,1,2000,3,2,500,2,4,1000,2,2,
4,1,110,2,76,10085,2,1,18,4,6,,,,,,,,,,,,,6,3,6000,4,3,2000,2,4,1000,2,2,
4,1,110,2,76,10085,3,1,18,4,6,,,,,,,,,,,,,0,,,3,4,1500,0,,,2,2,
4,1,110,2,76,10086,1,2,23,4,13,,,,,,,,,,,,,7,1,8400,10,1,7000,0,,,2,3,
4,1,110,2,76,10086,2,2,20,4,12,,,,,,,,,,,,,8,1,9600,9,1,6300,0,,,2,3,
4,1,110,2,76,10087,1,1,22,3,12,,,,,,,,,,,,,5,1,6000,7,1,4900,0,,,2,3,
4,1,110,2,76,10087,2,1,20,3,10,,,,,,,,,,,,,4,1,4800,6,1,4200,0,,,2,3,
4,1,110,2,76,10087,3,1,18,3,14,,,,,,,,,,,,,4,1,4800,6,1,4200,0,,,2,3,
4,1,110,2,76,10088,1,1,22,5,8,2,25,5,10,,,,,,,,,3,2,4000,2,4,2000,0,,,2,2,
4,1,110,2,76,10088,2,1,21,4,10,2,18,5,12,,,,,,,,,3,2,4000,2,4,2000,0,,,2,2,
4,1,110,2,76,10089,1,2,18,5,10,,,,,,,,,,,,,5,2,6000,4,6,3000,0,,,2,3,
4,1,110,2,76,10089,2,2,15,4,8,,,,,,,,,,,,,5,2,6000,4,6,3000,0,,,2,3,
4,1,105,2,638,10091,1,2,5,1,5,5,1,1,5,,,,,,,,,4,2,2800,0,,,1,1,500,2,2,
4,1,105,2,638,10091,2,2,5,1,5,5,1,1,5,,,,,,,,,5,2,3500,0,,,0,,,2,2,
4,1,105,2,638,10091,3,2,5,1,5,5,1,1,5,,,,,,,,,4,2,2800,0,,,0,,,2,2,
4,1,105,2,638,10091,4,2,5,1,5,5,1,1,5,,,,,,,,,2,2,1400,0,,,0,,,2,2,
4,1,105,2,638,10091,5,2,5,1,5,5,1,1,5,,,,,,,,,3,2,2100,0,,,0,,,2,2,
4,1,105,2,638,10092,1,1,22,3,5,5,15,2,2,,,,,,,,,6,1,4800,12,2,7200,0,,,2,3,
4,1,105,2,638,10092,2,1,20,3,5,5,15,2,2,,,,,,,,,3,1,2400,3,1,1800,0,,,2,3,
5,3,322,2,0,10093,1,2,1,2,8,3,1,2,8,5,1,2,8,6,1,2,8,1,1,2000,0,,,0,,,2,3,
5,3,322,2,0,10093,2,2,1,2,6,3,1,2,6,4,1,2,6,6,1,2,6,1,1,2000,0,,,0,,,2,3,
5,3,322,2,0,10093,3,2,1,2,7,5,1,2,7,6,1,2,7,4,1,2,7,1,1,2000,0,,,0,,,2,3,
5,3,322,2,0,10093,4,2,1,2,6,4,1,2,6,7,1,2,6,8,1,2,6,1,1,2000,0,,,0,,,2,3,
4,1,105,2,638,10094,1,1,22,3,4,2,23,3,5,,,,,,,,,3,1,3600,5,1,4000,0,,,2,3,
4,1,105,2,638,10094,2,1,20,3,3,2,24,3,5,,,,,,,,,3,1,3600,5,1,4000,0,,,2,3,
4,1,105,2,638,10094,3,1,24,3,4,2,24,3,5,,,,,,,,,4,1,5200,7,1,5200,0,,,2,3,
4,1,105,2,638,10096,1,9,2,7,10,10,2,7,10,,,,,,,,,0,,,0,,,0,,,2,1,
4,1,105,2,638,10096,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10097,1,,,,,,,,,,,,,,,,,0,,,0,,,0,,,2,1,
4,1,105,2,638,10097,2,,,,,,,,,,,,,,,,,0,,,0,,,0,,,2,1,
4,1,105,2,638,10099,1,1,5,4,3,,,,,,,,,,,,,1,1,2000,1,1,1000,0,,,2,2,
4,1,105,2,638,10100,1,1,10,5,5,2,12,5,5,,,,,,,,,3,2,1400,2,2,1000,0,,,2,1,
4,1,105,2,638,10100,2,1,13,5,5,2,15,5,5,,,,,,,,,3,3,2100,2,2,1000,0,,,2,1,
4,1,108,2,904,10102,1,1,20,3,12,,,,,,,,,,,,,3,1,4500,5,1,5000,0,,,2,3,
4,1,108,2,904,10102,2,1,22,3,12,,,,,,,,,,,,,3,1,4500,5,1,5000,0,,,2,3,
