country,start_yr,end_yr,region,zone,avg_rep_fert,avg_urea,avg_dap,avg_manure,avg_compost,avg_rep_ofert,avg_ofert,avg_iofert,avg_fert,num_hh_fert,avg_prevention,avg_pest,avg_herb,avg_fung,num_hh_phf
ethiopia,2011,2012,1,1,0.8301886792452831,0.3584905660377358,0.5660377358490566,0.7735849056603774,0.2641509433962264,0.05660377358490566,0.7735849056603774,0.5849056603773585,0.8301886792452831,53,0.9811320754716981,0,0.20754716981132076,0.018867924528301886,53
ethiopia,2011,2012,1,2,0.92,0.68,0.7466666666666667,0.7466666666666667,0.21333333333333335,0.16,0.76,0.76,0.92,75,0.37333333333333335,0.10666666666666667,0.21333333333333335,0.10666666666666667,75
ethiopia,2011,2012,1,3,0.819672131147541,0.6229508196721312,0.6721311475409836,0.6557377049180327,0.18032786885245902,0.06557377049180328,0.6721311475409836,0.7540983606557377,0.819672131147541,61,0.06557377049180328,0.01639344262295082,0.01639344262295082,0.01639344262295082,61
ethiopia,2011,2012,1,4,0.8387096774193549,0.6774193548387096,0.6612903225806451,0.45161290322580644,0.1935483870967742,0.016129032258064516,0.5483870967741935,0.6935483870967742,0.8387096774193549,62,0.14516129032258066,0.04838709677419355,0.08064516129032258,0.04838709677419355,62
ethiopia,2011,2012,1,5,0.6666666666666666,0.3,0.3333333333333333,0.43333333333333335,0.08333333333333333,0.08333333333333333,0.45,0.3333333333333333,0.6333333333333333,60,1,0.034482758620689655,0.22413793103448276,0.017241379310344827,58
ethiopia,2011,2012,2,1,0.0625,0,0,0.0625,0.0625,0.0625,0.0625,0,0.0625,16,0,0,0,0,15
ethiopia,2011,2012,2,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3
ethiopia,2011,2012,3,1,0.7571428571428571,0.2571428571428571,0.2571428571428571,0.5857142857142857,0.15714285714285714,0.38571428571428573,0.6285714285714286,0.2571428571428571,0.7142857142857143,70,0.12857142857142856,0,0.12857142857142856,0,70
ethiopia,2011,2012,3,2,0.75,0.375,0.28125,0.640625,0.359375,0.140625,0.703125,0.375,0.75,64,0.08064516129032258,0.03225806451612903,0.06451612903225806,0,62
ethiopia,2011,2012,3,3,0.8024691358024691,0.32098765432098764,0.20987654320987653,0.7037037037037037,0.3950617283950617,0.30864197530864196,0.7901234567901234,0.32098765432098764,0.7901234567901234,81,0,0,0,0,81
ethiopia,2011,2012,3,4,0.9166666666666666,0.4375,0.4791666666666667,0.8541666666666666,0.5,0.4166666666666667,0.875,0.4791666666666667,0.875,48,0.34,0.12,0.02,0.02,50
ethiopia,2011,2012,3,5,0.6612903225806451,0.3709677419354839,0.4032258064516129,0.5,0.3064516129032258,0.1935483870967742,0.5,0.5161290322580645,0.6290322580645161,62,0.43548387096774194,0.25806451612903225,0.27419354838709675,0.11290322580645161,62
ethiopia,2011,2012,3,6,0.8225806451612904,0.6129032258064516,0.5,0.4838709677419355,0.24193548387096775,0.2903225806451613,0.5645161290322581,0.6451612903225806,0.8064516129032258,62,0.03225806451612903,0.016129032258064516,0,0.016129032258064516,62
ethiopia,2011,2012,3,7,0.9493670886075949,0.9113924050632911,0.9240506329113924,0.8734177215189873,0.45569620253164556,0.5316455696202531,0.9113924050632911,0.9240506329113924,0.9367088607594937,79,0.5949367088607594,0.24050632911392406,0.4936708860759494,0,79
ethiopia,2011,2012,3,8,0.6470588235294118,0.029411764705882353,0,0.6470588235294118,0.08823529411764706,0.029411764705882353,0.6470588235294118,0.029411764705882353,0.6470588235294118,34,0.029411764705882353,0.029411764705882353,0,0,34
ethiopia,2011,2012,3,9,0.9047619047619048,0.5476190476190477,0.7380952380952381,0.7857142857142857,0.19047619047619047,0.40476190476190477,0.8095238095238095,0.7380952380952381,0.8571428571428571,42,0.30952380952380953,0,0.19047619047619047,0,42
ethiopia,2011,2012,3,10,0.7037037037037037,0.1111111111111111,0.07407407407407407,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0.14814814814814814,0.7037037037037037,27,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.037037037037037035,27
ethiopia,2011,2012,3,12,0.6551724137931034,0,0,0.6551724137931034,0.034482758620689655,0.3103448275862069,0.6551724137931034,0,0.6551724137931034,29,0.5172413793103449,0.5172413793103449,0,0.06896551724137931,29
ethiopia,2011,2012,4,1,0.803921568627451,0.3333333333333333,0.5098039215686274,0.6470588235294118,0.0392156862745098,0.0392156862745098,0.6274509803921569,0.49019607843137253,0.7843137254901961,51,0.5294117647058824,0.058823529411764705,0.29411764705882354,0.0196078431372549,51
ethiopia,2011,2012,4,2,0.5882352941176471,0.08823529411764706,0.20588235294117646,0.5882352941176471,0,0,0.5882352941176471,0.20588235294117646,0.5882352941176471,34,0.4117647058823529,0.029411764705882353,0.4117647058823529,0.029411764705882353,34
