country,start_yr,end_yr,zone,state,avg_rep_fert,avg_npk,avg_urea,avg_composite_manure,avg_other,avg_o_fert,avg_io_fert,num_hh_fert,avg_pest,avg_herb,num_hh_phf
nigeria,2010,2011,1,7,0.35507246376811596,0.2391304347826087,0.11594202898550725,0.007246376811594203,0.014492753623188406,0.007246376811594203,0.3333333333333333,138,0.028985507246376812,0.2608695652173913,138
nigeria,2010,2011,1,22,0.140625,0.109375,0.046875,0,0,0,0.140625,64,0.16923076923076924,0.18461538461538463,65
nigeria,2010,2011,1,23,0.3888888888888889,0.2037037037037037,0.18518518518518517,0,0.09259259259259259,0,0.2962962962962963,54,0.1111111111111111,0.42592592592592593,54
nigeria,2010,2011,1,25,0.4482758620689655,0.25862068965517243,0.15517241379310345,0,0.06896551724137931,0,0.3793103448275862,58,0.25862068965517243,0.603448275862069,58
nigeria,2010,2011,1,26,0.6444444444444445,0.4888888888888889,0.16666666666666666,0,0.08888888888888889,0,0.5777777777777777,90,0.21739130434782608,0.8913043478260869,92
nigeria,2010,2011,1,31,0.65625,0.5416666666666666,0.14583333333333334,0,0.0625,0,0.6041666666666666,96,0.15625,0.2916666666666667,96
nigeria,2010,2011,1,37,0.42857142857142855,0.14285714285714285,0.2857142857142857,0,0,0,0.42857142857142855,14,0.2857142857142857,0.9285714285714286,14
nigeria,2010,2011,2,2,0.43157894736842106,0.3263157894736842,0.16842105263157894,0,0.042105263157894736,0,0.3894736842105263,95,0.24489795918367346,0.8061224489795918,98
nigeria,2010,2011,2,5,0.5957446808510638,0.2624113475177305,0.2978723404255319,0,0.1702127659574468,0,0.45390070921985815,141,0.18620689655172415,0.3310344827586207,145
nigeria,2010,2011,2,8,0.4513888888888889,0.14583333333333334,0.2916666666666667,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.4027777777777778,144,0.1935483870967742,0.3096774193548387,155
nigeria,2010,2011,2,15,0.7903225806451613,0.6290322580645161,0.20967741935483872,0.016129032258064516,0.08064516129032258,0.016129032258064516,0.7419354838709677,62,0.46774193548387094,0.24193548387096775,62
nigeria,2010,2011,2,34,0.5764705882352941,0.29411764705882354,0.32941176470588235,0,0.047058823529411764,0,0.5647058823529412,85,0.11627906976744186,0.8372093023255814,86
nigeria,2010,2011,2,35,0.29545454545454547,0.1590909090909091,0.13636363636363635,0,0.07954545454545454,0,0.2159090909090909,88,0.13402061855670103,0.12371134020618557,97
nigeria,2010,2011,3,17,0.8596491228070176,0.5964912280701754,0.2631578947368421,0,0.05263157894736842,0,0.8070175438596491,114,0.3684210526315789,0.09649122807017543,114
nigeria,2010,2011,3,18,0.8522727272727273,0.6363636363636364,0.36363636363636365,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.8181818181818182,88,0.2840909090909091,0.5568181818181818,88
nigeria,2010,2011,3,19,0.5616438356164384,0.3561643835616438,0.1917808219178082,0.0958904109589041,0.0136986301369863,0.0958904109589041,0.5068493150684932,73,0.13513513513513514,0.08108108108108109,74
nigeria,2010,2011,3,20,0.8439716312056738,0.5886524822695035,0.2695035460992908,0.0070921985815602835,0.06382978723404255,0.0070921985815602835,0.7943262411347518,141,0.28368794326241137,0.0070921985815602835,141
nigeria,2010,2011,3,21,0.5764705882352941,0.2823529411764706,0.21176470588235294,0.07058823529411765,0.023529411764705882,0.07058823529411765,0.4823529411764706,85,0.24705882352941178,0.47058823529411764,85
nigeria,2010,2011,3,33,0.8947368421052632,0.19736842105263158,0.42105263157894735,0.09210526315789473,0.23684210526315788,0.09210526315789473,0.5921052631578947,76,0.5131578947368421,0.15789473684210525,76
nigeria,2010,2011,3,36,0.7682926829268293,0.5975609756097561,0.06097560975609756,0.08536585365853659,0.036585365853658534,0.08536585365853659,0.6585365853658537,82,0.35365853658536583,0.2073170731707317,82
nigeria,2010,2011,4,1,0.3230769230769231,0.24615384615384617,0.07692307692307693,0,0.015384615384615385,0,0.3076923076923077,65,0.1076923076923077,0.015384615384615385,65
nigeria,2010,2011,4,4,0.45962732919254656,0.32298136645962733,0.055900621118012424,0.031055900621118012,0.07453416149068323,0.031055900621118012,0.36024844720496896,161,0.13580246913580246,0.07407407407407407,162
nigeria,2010,2011,4,11,0.27049180327868855,0.09836065573770492,0.07377049180327869,0,0.10655737704918032,0,0.1721311475409836,122,0.01639344262295082,0,122
nigeria,2010,2011,4,14,0.18478260869565216,0.10869565217391304,0.010869565217391304,0.010869565217391304,0.05434782608695652,0.010869565217391304,0.11956521739130435,92,0.021739130434782608,0.03260869565217391,92
nigeria,2010,2011,4,16,0.4727272727272727,0.40606060606060607,0.012121212121212121,0.006060606060606061,0.048484848484848485,0.006060606060606061,0.41818181818181815,165,0.048484848484848485,0,165
nigeria,2010,2011,5,3,0.17204301075268819,0.13978494623655913,0.010752688172043012,0,0.021505376344086023,0,0.15053763440860216,93,0.031914893617021274,0,94
nigeria,2010,2011,5,6,0,0,0,0,0,0,0,19,0,0,21
nigeria,2010,2011,5,9,0.19090909090909092,0.13636363636363635,0.05454545454545454,0,0.03636363636363636,0,0.17272727272727273,110,0.0625,0.20535714285714285,112
nigeria,2010,2011,5,10,0.4444444444444444,0.16666666666666666,0.25925925925925924,0,0.018518518518518517,0,0.42592592592592593,54,0.09259259259259259,0.24074074074074073,54
nigeria,2010,2011,5,12,0.025,0,0.025,0,0,0,0.025,40,0.023255813953488372,0.06976744186046512,43
nigeria,2010,2011,5,32,0.10144927536231885,0.014492753623188406,0,0,0.08695652173913043,0,0.014492753623188406,69,0,0.014285714285714285,70
