household_id,household_id2,ea_id,ea_id2,coord_desc,dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2013_eviarea,h2013_evimax,h2013_grn,h2013_sen,lat_dd_mod,lon_dd_mod
01010201403061,010102088801403061,01010201403,010102088801403,1,17.2,17.5,90.5,169.6,159.7,50-100,213,205,868,283,662,71,14,322,1836,12,13,1,1,2,1,1,1,2,906,695,18,1521,760,24,47,0.4355,178,257,45,0.4397,185,260,14.2885896726,38.210251919
01010201403091,010102088801403091,01010201403,010102088801403,1,17.2,17.5,90.4,169.4,159.9,50-100,213,205,868,283,662,71,14,322,1829,11,13,1,1,2,1,1,1,2,906,695,18,1521,760,24,47,0.4355,178,257,45,0.4397,185,260,14.2885896726,38.210251919
01010201403106,010102088801403106,01010201403,010102088801403,1,16.9,17.2,90.2,169.6,159.6,50-100,214,205,870,283,663,66,14,322,1817,11,13,1,1,2,1,1,1,2,907,696,18,1522,760,24,47,0.4355,178,257,45,0.4397,185,260,14.2885896726,38.210251919
01010201403121,010102088801403121,01010201403,010102088801403,1,17.3,17.7,89.2,167.6,161.1,50-100,229,222,841,269,637,78,14,322,1649,14,8,1,1,2,1,1,1,2,914,702,18,1529,762,20,47,0.4355,178,257,45,0.4397,185,260,14.2885896726,38.210251919
01010201403136,010102088801403136,01010201403,010102088801403,1,17.2,17.5,89.4,168.1,160.6,50-100,229,222,841,269,637,72,14,322,1706,11,13,1,1,2,1,1,1,2,913,701,18,1527,762,20,47,0.4355,178,257,45,0.4397,185,260,14.2885896726,38.210251919
01010300106004,010103010100106004,01010300106,010103010100106,1,0.4,20.4,87.4,198.1,128.8,1000-2000,195,188,788,263,600,23,110,322,1975,15,8,1,1,4,1,1,1,4,875,679,18,1557,817,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
01010300106016,010103010100106016,01010300106,010103010100106,1,36.9,43,78.1,135.2,185.9,1000-2000,261,254,745,231,559,85,14,312,1142,12,8,1,1,4,1,1,1,4,1029,808,18,1538,790,21,47,0.4355,178,257,45,0.4397,185,260,14.1228539009,37.8778051409
01010300106028,010103010100106028,01010300106,010103010100106,1,25.7,26,97.5,166,166.9,2000-5000,216,208,853,277,650,15,150,322,1830,15,3,1,1,2,1,1,1,2,882,678,18,1479,756,24,47,0.4355,178,257,45,0.4397,185,260,14.3018395003,38.1902043793
01010300106040,010103010100106040,01010300106,010103010100106,1,0.2,22,87.8,199.8,127.2,50-100,189,183,770,260,586,12,130,322,2054,10,9,1,1,4,1,1,1,4,869,674,17,1563,825,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
01010300106052,010103010100106052,01010300106,010103010100106,1,0.1,21,87.3,198.8,128.1,5000-10000,195,188,784,262,597,9,110,322,1992,13,8,1,1,4,1,1,1,4,873,678,17,1560,821,20,47,0.4355,178,257,45,0.4397,185,260,14.1097608206,38.4738350524
