"household_id2","ea_id2","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","pop_density","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","srtm","twi","srtm_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2015_tot","h2015_wetQ","h2015_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2015_eviarea","h2015_evimax","h2015_grn","h2015_sen","lat_dd_mod","lon_dd_mod"
"010102088801403136","010102088801403",17,17,89,168,161,"50-100",229,222,841,269,637,65,20,322,1706,11,13,1,1,2,1,1,1,2,977,785,18,1481,1114,18,46,0.432,177,257,40,0.386,173,256,14.2885896726,38.210251919
"010103010100106004","010103010100106",0,20,87,198,129,"2000-5000",195,188,788,263,600,23,110,322,1975,15,8,1,1,4,1,1,1,4,928,760,17,1376,1114,17,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106016","010103010100106",0,21,87,199,128,"2000-5000",196,189,790,263,602,14,110,322,1983,14,13,1,1,4,1,1,1,4,926,759,17,1371,1110,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106040","010103010100106",0,21,87,199,128,"2000-5000",195,188,784,262,597,9,110,322,2001,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106052","010103010100106",0,21,87,199,128,"2000-5000",195,188,784,262,597,9,110,322,1992,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106064","010103010100106",0,21,87,199,128,"2000-5000",195,188,784,262,597,9,110,322,1994,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106076","010103010100106",0,21,87,199,128,"2000-5000",195,188,784,262,597,9,110,322,1994,13,8,1,1,4,1,1,1,4,925,758,17,1367,1107,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106088","010103010100106",0,21,87,199,128,"2000-5000",195,188,784,262,597,7,110,322,2001,13,8,1,1,4,1,1,1,4,925,758,17,1367,1107,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106100","010103010100106",0,21,87,199,128,"2000-5000",195,188,784,262,597,7,110,322,1994,13,8,1,1,4,1,1,1,4,925,758,17,1367,1107,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106112","010103010100106",0,21,87,199,128,"2000-5000",195,188,784,262,597,9,110,322,2003,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106124","010103010100106",0,21,87,199,128,"2000-5000",195,188,784,262,597,9,110,322,1992,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103010100106136","010103010100106",0,21,87,199,128,"2000-5000",195,188,784,262,597,10,110,322,1987,15,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.1097608206,38.4738350524
"010103088801804004","010103088801804",27,35,63,203,115,"100-200",221,212,796,254,608,61,20,322,1694,15,13,1,1,5,1,1,1,5,1002,814,17,1630,1360,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
"010103088801804019","010103088801804",27,36,63,204,115,"100-200",221,212,796,254,608,70,14,322,1718,11,13,1,1,5,1,1,1,5,1001,813,17,1630,1360,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
"010103088801804034","010103088801804",27,36,63,204,115,"100-200",218,208,796,256,611,77,14,322,1735,12,8,1,1,5,1,1,1,5,999,812,17,1630,1360,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
"010103088801804049","010103088801804",27,36,64,204,115,"100-200",218,208,796,256,611,86,14,322,1749,13,8,1,1,5,1,1,1,5,999,812,17,1630,1360,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
"010103088801804051","010103088801804",14,27,102,201,134,"100-200",215,209,767,245,572,32,30,322,1712,13,8,2,1,5,1,1,1,5,862,701,18,1319,1063,18,46,0.432,177,257,40,0.386,173,256,14.2623092313,38.5017445074
"010103088801804069","010103088801804",28,36,64,205,114,"100-200",218,208,792,255,609,93,14,322,1802,11,13,1,1,5,1,1,1,5,996,810,17,1629,1360,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
"010103088801804085","010103088801804",28,36,63,204,115,"100-200",218,208,796,256,611,87,14,322,1786,12,13,1,1,5,1,1,1,5,998,811,17,1628,1359,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
"010103088801804100","010103088801804",28,36,63,204,114,"100-200",218,208,796,256,611,91,14,322,1782,12,13,1,1,5,1,1,1,5,997,810,17,1628,1359,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
"010103088801804115","010103088801804",28,37,64,205,114,"100-200",221,212,790,254,605,95,14,322,1718,11,13,1,1,4,1,1,1,4,993,808,17,1627,1358,17,46,0.432,177,257,40,0.386,173,256,13.8440840301,38.4803250395
