country,start_yr,end_yr,region,avg_rep_fert,avg_urea,avg_dap,avg_manure,avg_compost,avg_rep_ofert,avg_ofert,avg_iofert,avg_fert,num_hh
ethiopia,2011,2012,1,0.8135048231511254,0.5401929260450161,0.5980707395498392,0.5980707395498392,0.1864951768488746,0.08038585209003216,0.6270096463022508,0.6302250803858521,0.8135048231511254,311
ethiopia,2011,2012,2,0.047619047619047616,0,0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0,0.047619047619047616,21
ethiopia,2011,2012,3,0.774247491638796,0.411371237458194,0.391304347826087,0.6387959866220736,0.2725752508361204,0.2976588628762542,0.6822742474916388,0.451505016722408,0.774247491638796,598
ethiopia,2011,2012,4,0.6873889875666075,0.2984014209591474,0.47957371225577267,0.48134991119005327,0.035523978685612786,0.0994671403197158,0.4920071047957371,0.5079928952042628,0.6873889875666075,563
ethiopia,2011,2012,5,0.19083969465648856,0.007633587786259542,0.007633587786259542,0.16030534351145037,0.022900763358778626,0.061068702290076333,0.16030534351145037,0.007633587786259542,0.19083969465648856,131
ethiopia,2011,2012,6,0.2815533980582524,0.14563106796116504,0.10679611650485436,0.1650485436893204,0.009708737864077669,0.019417475728155338,0.17475728155339806,0.14563106796116504,0.2815533980582524,103
ethiopia,2011,2012,7,0.7518248175182481,0.3077858880778589,0.4854014598540146,0.5790754257907542,0.06082725060827251,0.08880778588807786,0.6082725060827251,0.5024330900243309,0.7518248175182481,822
ethiopia,2011,2012,12,0,0,0,0,0,0,0,0,0,95
ethiopia,2011,2012,13,0.7604166666666666,0.5104166666666666,0.1875,0.6979166666666666,0.020833333333333332,0,0.7083333333333334,0.5104166666666666,0.7604166666666666,96
ethiopia,2011,2012,15,0.38,0.05,0,0.38,0.04,0.01,0.38,0.05,0.38,100
ethiopia,2013,2014,1,0.8621794871794872,0.6185897435897436,0.7019230769230769,0.6410256410256411,0.266025641025641,0.003205128205128205,0.6730769230769231,0.7339743589743589,0.8621794871794872,312
ethiopia,2013,2014,2,0.12121212121212122,0,0,0.12121212121212122,0,0,0.12121212121212122,0,0.12121212121212122,33
ethiopia,2013,2014,3,0.8087091757387247,0.46967340590979784,0.447900466562986,0.6251944012441679,0.29082426127527217,0.01088646967340591,0.7091757387247278,0.5163297045101088,0.8087091757387247,643
ethiopia,2013,2014,4,0.8180379746835443,0.44462025316455694,0.6123417721518988,0.5632911392405063,0.05063291139240506,0.030063291139240507,0.5759493670886076,0.634493670886076,0.8180379746835443,632
ethiopia,2013,2014,5,0.09090909090909091,0.022727272727272728,0.007575757575757576,0.07575757575757576,0,0,0.07575757575757576,0.022727272727272728,0.09090909090909091,132
ethiopia,2013,2014,6,0.4690265486725664,0.18584070796460178,0.21238938053097345,0.336283185840708,0.04424778761061947,0.02654867256637168,0.36283185840707965,0.26548672566371684,0.4690265486725664,113
ethiopia,2013,2014,7,0.7706521739130435,0.3282608695652174,0.46956521739130436,0.6326086956521739,0.030434782608695653,0.0641304347826087,0.658695652173913,0.483695652173913,0.7706521739130435,920
ethiopia,2013,2014,12,0.07865168539325842,0,0,0.0449438202247191,0,0.06741573033707865,0.07865168539325842,0,0.07865168539325842,89
ethiopia,2013,2014,13,0.8715596330275229,0.48623853211009177,0.44954128440366975,0.7889908256880734,0.009174311926605505,0,0.7889908256880734,0.5963302752293578,0.8715596330275229,109
ethiopia,2013,2014,15,0.5555555555555556,0.05555555555555555,0.009259259259259259,0.5462962962962963,0,0,0.5462962962962963,0.06481481481481481,0.5555555555555556,108
ethiopia,2015,2016,1,0.8348909657320872,0.5763239875389408,0.5981308411214953,0.6510903426791277,0.2336448598130841,0.003115264797507788,0.6884735202492211,0.6542056074766355,0.8348909657320872,321
ethiopia,2015,2016,2,0.19230769230769232,0,0.038461538461538464,0.15384615384615385,0,0,0.15384615384615385,0.038461538461538464,0.19230769230769232,26
ethiopia,2015,2016,3,0.8367029548989113,0.5132192846034215,0.3608087091757387,0.6640746500777605,0.16485225505443235,0.05909797822706065,0.7045101088646968,0.552099533437014,0.8367029548989113,643
ethiopia,2015,2016,4,0.8212634822804314,0.39907550077041604,0.3667180277349769,0.5916795069337443,0.04930662557781202,0.03543913713405239,0.6055469953775039,0.5269645608628659,0.8212634822804314,649
ethiopia,2015,2016,5,0.096,0.016,0.016,0.08,0,0.008,0.088,0.016,0.096,125
ethiopia,2015,2016,6,0.5727272727272728,0.24545454545454545,0.2545454545454545,0.4,0.1,0.12727272727272726,0.5272727272727272,0.2909090909090909,0.5727272727272728,110
ethiopia,2015,2016,7,0.7556306306306306,0.3536036036036036,0.4144144144144144,0.6475225225225225,0.061936936936936936,0.06644144144144144,0.6722972972972973,0.46396396396396394,0.7556306306306306,888
ethiopia,2015,2016,12,0.011363636363636364,0,0,0,0,0.011363636363636364,0.011363636363636364,0,0.011363636363636364,88
ethiopia,2015,2016,13,0.8073394495412844,0.5596330275229358,0.44036697247706424,0.7247706422018348,0.08256880733944955,0.009174311926605505,0.7339449541284404,0.6422018348623854,0.8073394495412844,109
ethiopia,2015,2016,15,0.5047619047619047,0.009523809523809525,0.009523809523809525,0.49523809523809526,0,0,0.49523809523809526,0.01904761904761905,0.5047619047619047,105
